City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bluff,19,NZ,2022-03-27 18:24:52,90,-46.6,168.3333,53.08,2.53
1,Albany,100,US,2022-03-27 18:24:52,58,42.6001,-73.9662,38.39,3.0
2,Mount Gambier,75,AU,2022-03-27 18:24:53,94,-37.8333,140.7667,60.71,5.75
3,Punta Arenas,0,CL,2022-03-27 18:23:11,57,-53.15,-70.9167,50.11,27.63
4,Souillac,40,MU,2022-03-27 18:21:18,83,-20.5167,57.5167,79.18,0.0
5,Straumen,100,NO,2022-03-27 18:24:54,92,63.8709,11.2999,44.6,26.31
6,Swan Hill,60,AU,2022-03-27 18:24:54,47,-35.3378,143.5544,67.95,4.65
7,Busselton,0,AU,2022-03-27 18:24:55,70,-33.65,115.3333,58.21,14.56
8,Umm Lajj,15,SA,2022-03-27 18:24:55,54,25.0213,37.2685,72.5,19.44
9,Sistranda,100,NO,2022-03-27 18:24:56,91,63.7256,8.834,44.56,43.73
10,Bandarbeyla,2,SO,2022-03-27 18:24:56,72,9.4942,50.8122,78.93,15.21
11,Kantunilkin,12,MX,2022-03-27 18:24:57,26,21.0917,-87.45,85.95,8.5
12,Nara,75,JP,2022-03-27 18:24:57,60,34.6851,135.8049,51.49,3.11
13,Novomikhaylovskiy,100,RU,2022-03-27 18:24:58,71,44.2581,38.8578,42.51,7.81
14,Waipawa,100,NZ,2022-03-27 18:24:59,90,-41.4122,175.5153,53.82,7.0
15,Kenora,0,CA,2022-03-27 18:21:22,37,49.8167,-94.4337,11.37,5.75
16,Barrow,0,US,2022-03-27 18:24:59,71,71.2906,-156.7887,-2.18,20.71
17,Port-Gentil,75,GA,2022-03-27 18:25:00,89,-0.7193,8.7815,82.36,10.36
18,Richards Bay,31,ZA,2022-03-27 18:25:00,88,-28.783,32.0377,71.04,5.01
19,Atuona,35,PF,2022-03-27 18:25:00,79,-9.8,-139.0333,79.11,16.69
20,Yellowknife,20,CA,2022-03-27 18:25:01,66,62.456,-114.3525,6.42,8.05
21,Hobart,94,AU,2022-03-27 18:21:58,75,-42.8794,147.3294,61.05,5.75
22,Santa Isabel Do Rio Negro,100,BR,2022-03-27 18:25:02,75,-0.4139,-65.0192,81.3,3.11
23,Qui Nhon,73,VN,2022-03-27 18:25:03,89,13.7667,109.2333,77.34,3.47
24,Vardo,40,NO,2022-03-27 18:25:03,93,70.3705,31.1107,19.38,10.36
25,Ketchikan,20,US,2022-03-27 18:24:38,70,55.3422,-131.6461,45.07,10.36
26,Saint-Philippe,90,RE,2022-03-27 18:25:04,87,-21.3585,55.7679,78.39,9.22
27,Chuy,9,UY,2022-03-27 18:25:04,36,-33.6971,-53.4616,81.28,12.37
28,Quatre Cocos,14,MU,2022-03-27 18:25:05,75,-20.2078,57.7625,78.91,8.72
29,Broome,100,US,2022-03-27 18:25:05,72,42.2506,-75.833,33.39,17.27
30,Jamestown,100,US,2022-03-27 18:25:06,64,42.097,-79.2353,24.53,25.32
31,Vila Velha,20,BR,2022-03-27 18:24:38,71,-20.3297,-40.2925,89.55,16.11
32,Iqaluit,100,CA,2022-03-27 18:25:07,100,63.7506,-68.5145,19.13,3.44
33,Qaanaaq,100,GL,2022-03-27 18:25:07,78,77.484,-69.3632,8.17,5.97
34,Rikitea,3,PF,2022-03-27 18:25:08,70,-23.1203,-134.9692,78.75,11.48
35,Padang,40,ID,2022-03-27 18:21:36,71,-0.9492,100.3543,75.51,4.36
36,Taoudenni,2,ML,2022-03-27 18:25:09,17,22.6783,-3.9836,96.4,1.45
37,Port Elizabeth,0,ZA,2022-03-27 18:21:11,90,-33.918,25.5701,73.09,14.97
38,Klaksvik,53,FO,2022-03-27 18:20:11,87,62.2266,-6.589,49.12,20.22
39,Roma,100,US,2022-03-27 18:21:21,79,43.2128,-75.4557,33.73,19.57
40,Xilagani,0,GR,2022-03-27 18:25:10,81,40.9833,25.4167,52.9,1.07
41,Mataura,10,NZ,2022-03-27 18:25:11,98,-46.1927,168.8643,47.44,1.48
42,Tasiilaq,100,GL,2022-03-27 18:25:11,77,65.6145,-37.6368,32.16,11.27
43,Bredasdorp,90,ZA,2022-03-27 18:25:12,82,-34.5322,20.0403,65.62,5.84
44,Ilulissat,0,GL,2022-03-27 18:25:12,43,69.2167,-51.1,28.42,8.05
45,Harbour Breton,100,CA,2022-03-27 18:26:13,96,47.4833,-55.7983,37.76,20.33
46,Kaitangata,19,NZ,2022-03-27 18:26:14,95,-46.2817,169.8464,49.55,2.06
47,Itarema,93,BR,2022-03-27 18:26:14,77,-2.9248,-39.9167,82.45,11.12
48,Cayenne,75,GF,2022-03-27 18:26:15,1,4.9333,-52.3333,86.04,17.27
49,Faanui,51,PF,2022-03-27 18:26:15,73,-16.4833,-151.75,81.59,13.35
50,Pajapan,47,MX,2022-03-27 18:26:16,47,18.25,-94.7,71.76,7.76
51,Adre,29,TD,2022-03-27 18:26:16,9,13.4667,22.2,76.37,13.87
52,Sitka,20,US,2022-03-27 18:21:53,70,57.0531,-135.33,39.09,0.0
53,Chiredzi,76,ZW,2022-03-27 18:26:17,96,-21.05,31.6667,67.93,3.85
54,Pevek,89,RU,2022-03-27 18:24:21,100,69.7008,170.3133,-17.23,7.16
55,Waddan,1,LY,2022-03-27 18:26:18,8,29.1614,16.139,73.58,9.44
56,Ayr,0,GB,2022-03-27 18:26:18,67,55.4627,-4.6339,58.89,3.44
57,Dikson,15,RU,2022-03-27 18:26:19,97,73.5069,80.5464,-14.62,4.99
58,Jiuquan,52,CN,2022-03-27 18:26:19,18,39.7432,98.5174,46.13,3.67
59,Ushuaia,75,AR,2022-03-27 18:25:09,50,-54.8,-68.3,49.66,14.97
60,Vaini,40,TO,2022-03-27 18:26:20,94,-21.2,-175.2,77.16,6.91
61,Carnarvon,40,AU,2022-03-27 18:21:27,78,-24.8667,113.6333,71.67,4.61
62,Lorengau,76,PG,2022-03-27 18:23:49,80,-2.0226,147.2712,79.88,6.02
63,Northam,0,GB,2022-03-27 18:26:21,72,51.0333,-4.2167,57.25,7.0
64,Pringsewu,71,ID,2022-03-27 18:26:21,97,-5.3582,104.9744,73.22,1.12
65,Alta Floresta,75,BR,2022-03-27 18:26:22,70,-9.8756,-56.0861,85.82,2.3
66,Dingle,64,PH,2022-03-27 18:26:22,89,10.9995,122.6711,76.53,6.62
67,Samarinda,100,ID,2022-03-27 18:26:23,99,-0.5,117.15,72.43,0.67
68,Pangnirtung,20,CA,2022-03-27 18:26:24,85,66.1451,-65.7125,14.0,3.44
69,Yulara,39,AU,2022-03-27 18:26:24,22,-25.2406,130.9889,67.84,6.91
70,Quimper,0,FR,2022-03-27 18:26:25,36,48.0,-4.1,61.36,3.44
71,Mar Del Plata,0,AR,2022-03-27 18:22:28,59,-38.0023,-57.5575,75.22,24.0
72,Marabba,90,SD,2022-03-27 18:26:26,13,12.35,32.1833,86.99,14.14
73,Lerwick,54,GB,2022-03-27 18:26:26,86,60.1545,-1.1494,46.4,17.13
74,Egvekinot,28,RU,2022-03-27 18:26:26,92,66.3167,-179.1667,-7.76,6.26
75,Severo-Kurilsk,98,RU,2022-03-27 18:26:27,90,50.6789,156.125,32.61,13.69
76,Kodiak,100,US,2022-03-27 18:26:27,93,57.79,-152.4072,33.31,29.93
77,Somanda,74,TZ,2022-03-27 18:26:28,67,-3.3667,33.95,71.82,4.45
78,Tigil,100,RU,2022-03-27 18:26:28,81,57.8,158.6667,19.98,13.98
79,Cidreira,0,BR,2022-03-27 18:26:29,58,-30.1811,-50.2056,76.48,6.71
80,Kismayo,46,SO,2022-03-27 18:26:29,81,-0.3582,42.5454,81.97,12.03
81,Inta,100,RU,2022-03-27 18:26:30,74,66.0317,60.1659,17.98,16.35
82,Nikolskoye,89,RU,2022-03-27 18:22:12,86,59.7035,30.7861,26.8,3.89
83,Khonsa,0,IN,2022-03-27 18:26:31,72,27.0167,95.5667,61.21,4.94
84,Muskogee,0,US,2022-03-27 18:26:32,27,35.5834,-95.3336,66.27,13.8
85,Dzaoudzi,0,YT,2022-03-27 18:26:32,89,-12.7887,45.2699,78.69,3.44
86,Atar,71,MR,2022-03-27 18:26:33,9,20.5169,-13.0499,91.87,15.5
87,Hermanus,85,ZA,2022-03-27 18:27:33,67,-34.4187,19.2345,67.8,3.22
88,Tocopilla,9,CL,2022-03-27 18:27:34,61,-22.092,-70.1979,74.34,9.73
89,Santa Maria,75,BR,2022-03-27 18:25:34,53,-29.6842,-53.8069,78.1,5.75
90,Rodeo,0,US,2022-03-27 18:27:34,74,38.033,-122.2669,64.26,8.01
91,Saskylakh,100,RU,2022-03-27 18:27:35,99,71.9167,114.0833,-5.13,4.54
92,Upernavik,100,GL,2022-03-27 18:27:35,72,72.7868,-56.1549,27.12,1.9
93,Avarua,75,CK,2022-03-27 18:27:36,78,-21.2078,-159.775,82.45,6.91
94,Tuktoyaktuk,0,CA,2022-03-27 18:27:36,64,69.4541,-133.0374,-14.8,6.91
95,Fortuna,40,US,2022-03-27 18:27:37,93,40.5982,-124.1573,54.93,9.22
96,Bengkulu,23,ID,2022-03-27 18:27:37,89,-3.8004,102.2655,76.46,6.15
