City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,79.14,66,14,9.44,few clouds
1,Cape Town,ZA,-33.9258,18.4232,68.11,67,44,6.96,scattered clouds
2,Vaini,TO,-21.2,-175.2,84.36,84,75,5.75,broken clouds
3,Ushuaia,AR,-54.8,-68.3,40.78,88,54,3.83,broken clouds
4,Mataura,NZ,-46.1927,168.8643,66.81,56,3,2.62,clear sky
5,Dikson,RU,73.5069,80.5464,-17.93,100,21,3.56,few clouds
6,Naze,JP,28.3667,129.4833,63.52,58,95,13.73,overcast clouds
7,Wilmington,US,34.2257,-77.9447,62.85,22,0,11.5,clear sky
8,Port Elizabeth,ZA,-33.918,25.5701,66.09,99,100,1.01,overcast clouds
9,Victoria,HK,22.2855,114.1577,63.95,94,100,5.01,moderate rain
10,Port Alfred,ZA,-33.5906,26.891,70.18,84,99,21.14,overcast clouds
11,Brae,GB,60.3964,-1.353,47.32,86,3,17.31,clear sky
12,Sarankhola,BD,22.3082,89.7897,76.19,98,35,5.14,scattered clouds
13,Airai,TL,-8.9266,125.4092,63.46,83,85,1.03,overcast clouds
14,Meadow Lake,US,34.8014,-106.5436,80.85,7,99,6.13,overcast clouds
15,Mahebourg,MU,-20.4081,57.7,76.24,73,8,7.2,clear sky
16,Bela,IN,25.9333,81.9833,74.05,11,0,4.81,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,48.11,70,20,12.66,few clouds
18,Boddam,GB,57.4667,-1.7833,43.43,82,5,2.08,clear sky
19,Kapaa,US,22.0752,-159.319,79.48,64,18,4.0,few clouds
20,Kruisfontein,ZA,-34.0033,24.7314,63.88,81,81,5.23,broken clouds
21,Yantal,RU,56.8471,105.2542,12.09,94,100,9.73,overcast clouds
22,Chuy,UY,-33.6971,-53.4616,64.13,71,0,1.34,clear sky
23,Bluff,NZ,-46.6,168.3333,58.53,75,10,1.95,clear sky
24,Kikwit,CD,-5.041,18.8162,73.99,88,89,1.1,overcast clouds
25,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.21,99,100,2.1,light rain
26,Saldanha,ZA,-33.0117,17.9442,62.96,73,7,5.39,clear sky
27,Pavilosta,LV,56.8879,21.1859,39.11,88,33,16.42,scattered clouds
28,Bredasdorp,ZA,-34.5322,20.0403,65.1,75,36,3.53,scattered clouds
29,Veshenskaya,RU,49.6303,41.7334,28.13,71,100,17.83,overcast clouds
30,Redencao,BR,-4.2258,-38.7306,74.57,95,99,1.59,overcast clouds
31,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,87,87,9.24,overcast clouds
32,Mar Del Plata,AR,-38.0023,-57.5575,62.87,70,0,5.99,light rain
33,Melilla,ES,35.2937,-2.9383,59.38,88,75,13.8,broken clouds
34,Saint-Philippe,RE,-21.3585,55.7679,78.39,86,98,8.79,overcast clouds
35,Albany,US,42.6001,-73.9662,29.95,60,100,3.0,overcast clouds
36,Yellowknife,CA,62.456,-114.3525,18.41,60,100,5.01,overcast clouds
