City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Esperance,AU,62.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
5,Codrington,AU,65.35,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
7,Busselton,AU,60.4,clear sky,-33.65,115.3333,Observatory Guest House
11,Benguela,AO,79.77,moderate rain,-12.5763,13.4055,Hotel Praia Morena
12,Rikitea,PF,78.69,clear sky,-23.1203,-134.9692,People ThankYou
15,Faya,SA,73.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
17,Cape Town,ZA,82.81,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
19,Lebu,CL,60.3,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
20,Metro,ID,75.99,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
23,Ribeira Grande,PT,66.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
25,Carmen,MX,71.64,clear sky,18.6333,-91.8333,Hotel Lossandes
27,Castro,BR,76.91,clear sky,-24.7911,-50.0119,CHACARA BAILLY
29,Port Alfred,ZA,74.17,broken clouds,-33.5906,26.891,The Halyards Hotel
30,Kulhudhuffushi,MV,83.1,few clouds,6.6221,73.07,Haajy Guest House 1
31,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
34,Juruti,BR,82.29,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
40,Baghdad,IQ,69.71,clear sky,33.3406,44.4009,Baghdad Hotel
43,Dalby,AU,62.98,moderate rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
44,Bulolo,PG,71.51,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
47,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
49,Tigre,AR,75.24,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
54,Bredasdorp,ZA,72.01,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
55,Mabaruma,GY,85.23,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
56,Tianpeng,CN,61.27,broken clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
57,Padang,ID,77.22,few clouds,-0.9492,100.3543,Mercure Padang
58,Bengkulu,ID,77.83,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Kavaratti,IN,83.5,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
64,Sao Joao Da Barra,BR,89.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
66,Kirakira,SB,79.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
68,Hilo,US,67.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
75,Ruteng,ID,63.1,overcast clouds,-8.6136,120.4721,Hotel FX 72
77,Huarmey,PE,74.19,overcast clouds,-10.0681,-78.1522,Hotel Miramar
78,Guerrero Negro,MX,60.37,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
80,Sao Jose Da Coroa Grande,BR,82.98,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
82,Nagua,DO,80.65,broken clouds,19.3832,-69.8474,Hotel Cambri
84,Cam Ranh,VN,80.56,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
85,Kapaa,US,66.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Mungwi,ZM,72.43,light rain,-10.1732,31.3694,
90,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
93,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
96,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
97,Quelimane,MZ,84.15,broken clouds,-17.8786,36.8883,Hotel Flamingo
100,Hermanus,ZA,84.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
101,Shadegan,IR,73.35,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
104,Praia Da Vitoria,PT,64.65,scattered clouds,38.7333,-27.0667,Hotel Branco I
105,Lake Havasu City,US,79.09,clear sky,34.4839,-114.3224,Heat Hotel
106,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
110,Boyuibe,BO,81.7,clear sky,-20.4167,-63.2833,Residencial Eluzai
111,Naze,JP,63.52,scattered clouds,28.3667,129.4833,Shishime Hotel
112,Le Vauclin,MQ,84.25,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
113,Binga,ZW,82.04,light rain,-17.6203,27.3414,Lakeview Inn Binga
114,Alice Springs,AU,69.22,clear sky,-23.7,133.8833,Desert Palms Alice Springs
115,Zacualpan,MX,76.75,clear sky,21.25,-105.1667,La Colorada B&B
118,East London,ZA,74.34,few clouds,-33.0153,27.9116,Tu Casa
123,Larap,PH,78.06,overcast clouds,14.299,122.6504,Montemayor Cove
124,Ridgecrest,US,64.65,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
