City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.4072,33.31,86,100,19.57,light snow
1,Esperance,AU,-33.8667,121.9,62.44,70,100,13.94,overcast clouds
2,Husavik,IS,66.0449,-17.3389,27.5,76,100,10.49,overcast clouds
3,Dikson,RU,73.5069,80.5464,-12.96,98,13,8.5,few clouds
4,Norman Wells,CA,65.282,-126.8329,-3.96,77,75,0.0,light snow
5,Codrington,AU,-38.2667,141.9667,65.35,52,100,7.09,overcast clouds
6,Kaeo,NZ,-35.1,173.7833,58.32,90,10,4.7,clear sky
7,Busselton,AU,-33.65,115.3333,60.4,63,0,16.15,clear sky
8,Klaksvik,FO,62.2266,-6.589,50.92,74,8,28.41,clear sky
9,Aklavik,CA,68.2191,-135.0107,-18.4,76,20,4.61,few clouds
10,Kidal,ML,18.4411,1.4078,98.71,6,0,15.35,clear sky
11,Benguela,AO,-12.5763,13.4055,79.77,78,95,5.01,moderate rain
12,Rikitea,PF,-23.1203,-134.9692,78.69,69,5,13.15,clear sky
13,Dunedin,NZ,-45.8742,170.5036,58.8,86,48,4.0,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,46.06,71,40,4.61,scattered clouds
15,Faya,SA,18.3851,42.4509,73.51,38,0,5.55,clear sky
16,Saint George,US,37.1041,-113.5841,54.19,26,0,3.44,clear sky
17,Cape Town,ZA,-33.9258,18.4232,82.81,9,0,9.22,clear sky
18,Ler,SS,8.3018,30.1418,99.41,10,96,4.32,overcast clouds
19,Lebu,CL,-37.6167,-73.65,60.3,72,92,4.05,overcast clouds
20,Metro,ID,-5.1131,105.3067,75.99,91,18,3.85,moderate rain
21,Druzhinino,RU,56.7895,59.5143,34.74,84,100,12.01,overcast clouds
22,Tandur,IN,17.2333,77.5833,96.46,16,84,6.69,broken clouds
23,Ribeira Grande,PT,38.5167,-28.7,66.6,63,20,18.41,few clouds
24,Pangnirtung,CA,66.1451,-65.7125,25.81,71,100,1.57,overcast clouds
25,Carmen,MX,18.6333,-91.8333,71.64,68,0,16.11,clear sky
26,Sartana,UA,47.1744,37.6927,42.85,100,99,21.7,overcast clouds
27,Castro,BR,-24.7911,-50.0119,76.91,59,1,3.47,clear sky
28,Lowicz,PL,52.1071,19.9453,52.54,38,82,6.51,broken clouds
29,Port Alfred,ZA,-33.5906,26.891,74.17,77,64,8.99,broken clouds
30,Kulhudhuffushi,MV,6.6221,73.07,83.1,69,15,8.84,few clouds
31,Vila Velha,BR,-20.3297,-40.2925,89.55,61,20,11.5,few clouds
32,Bluff,NZ,-46.6,168.3333,52.84,88,14,2.39,few clouds
33,Nikolskoye,RU,59.7035,30.7861,32.88,62,81,11.18,broken clouds
34,Juruti,BR,-2.1522,-56.0922,82.29,76,100,5.32,overcast clouds
35,Barrow,US,71.2906,-156.7887,-3.98,77,0,20.71,haze
36,Mataura,NZ,-46.1927,168.8643,47.46,99,16,1.88,few clouds
37,Havoysund,NO,70.9963,24.6622,26.83,60,99,8.25,overcast clouds
38,Broome,US,42.2506,-75.833,34.02,75,100,14.97,overcast clouds
39,Borgarnes,IS,64.5383,-21.9206,39.25,87,100,13.35,overcast clouds
40,Baghdad,IQ,33.3406,44.4009,69.71,19,0,17.27,clear sky
41,Te Anau,NZ,-45.4167,167.7167,51.15,93,11,1.14,few clouds
42,Babu,CN,24.4167,111.5167,53.73,89,90,5.46,overcast clouds
43,Dalby,AU,-27.1833,151.2667,62.98,97,97,11.3,moderate rain
44,Bulolo,PG,-7.2,146.65,71.51,96,100,2.21,overcast clouds
45,Ossora,RU,59.2353,163.0719,7.95,97,100,3.98,light snow
46,Islahiye,TR,37.025,36.6306,50.36,66,1,4.97,clear sky
47,Balikpapan,ID,-1.2675,116.8289,77.99,94,20,3.44,few clouds
48,Hemsedal,NO,60.8629,8.5534,43.16,96,99,8.43,overcast clouds
49,Tigre,AR,-34.426,-58.5796,75.24,55,0,8.05,clear sky
50,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,14.97,clear sky
51,Marystown,CA,47.1666,-55.1483,40.86,100,100,5.99,overcast clouds
52,Upernavik,GL,72.7868,-56.1549,25.5,72,100,1.81,overcast clouds
53,Inuvik,CA,68.3499,-133.7218,-6.74,71,0,8.05,clear sky
54,Bredasdorp,ZA,-34.5322,20.0403,72.01,62,100,13.06,overcast clouds
55,Mabaruma,GY,8.2,-59.7833,85.23,59,100,8.23,overcast clouds
56,Tianpeng,CN,30.9866,103.9393,61.27,64,77,4.23,broken clouds
57,Padang,ID,-0.9492,100.3543,77.22,79,12,3.89,few clouds
58,Bengkulu,ID,-3.8004,102.2655,77.83,87,35,7.27,scattered clouds
59,Beyneu,KZ,45.3167,55.2,47.05,55,100,12.01,overcast clouds
60,Kavaratti,IN,10.5669,72.642,83.5,68,0,6.58,clear sky
61,Krasnoselkup,RU,65.7,82.4667,-7.15,98,5,1.92,clear sky
62,Albany,US,42.6001,-73.9662,37.94,69,99,4.0,overcast clouds
63,Iqaluit,CA,63.7506,-68.5145,19.13,92,100,8.05,mist
64,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.69,74,1,8.32,clear sky
65,Jamestown,US,42.097,-79.2353,24.39,68,100,16.11,overcast clouds
66,Kirakira,SB,-10.4544,161.9205,79.81,85,100,5.08,overcast clouds
67,Mbuji-Mayi,CD,-6.15,23.6,90.16,47,97,2.59,overcast clouds
68,Hilo,US,19.7297,-155.09,67.73,88,100,5.75,overcast clouds
69,Dongkan,CN,33.9997,119.8308,43.16,62,100,5.59,overcast clouds
70,Zyryanka,RU,65.75,150.85,-13.47,100,27,6.33,scattered clouds
71,Tessalit,ML,20.1986,1.0114,98.28,7,86,5.17,overcast clouds
72,Bethel,US,41.3712,-73.414,44.58,64,75,13.8,broken clouds
73,Port Hardy,CA,50.6996,-127.4199,44.78,100,100,3.44,light rain
74,Saskylakh,RU,71.9167,114.0833,-5.31,98,100,4.23,overcast clouds
75,Ruteng,ID,-8.6136,120.4721,63.1,92,99,0.63,overcast clouds
76,Portland,US,45.5234,-122.6762,52.25,93,75,3.0,broken clouds
77,Huarmey,PE,-10.0681,-78.1522,74.19,73,87,9.08,overcast clouds
78,Guerrero Negro,MX,27.9769,-114.0611,60.37,83,100,2.84,overcast clouds
79,Waipawa,NZ,-41.4122,175.5153,53.89,89,99,7.52,overcast clouds
80,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.98,75,81,10.45,broken clouds
81,Luderitz,NA,-26.6481,15.1594,71.51,55,1,6.42,clear sky
82,Nagua,DO,19.3832,-69.8474,80.65,78,75,5.75,broken clouds
83,Qaanaaq,GL,77.484,-69.3632,2.97,75,100,6.73,overcast clouds
84,Cam Ranh,VN,11.9214,109.1591,80.56,83,0,2.3,clear sky
85,Kapaa,US,22.0752,-159.319,66.52,88,75,6.91,light rain
86,Mungwi,ZM,-10.1732,31.3694,72.43,85,90,2.68,light rain
87,Nurota,UZ,40.5614,65.6886,46.67,55,0,3.69,clear sky
88,Turukhansk,RU,65.8167,87.9833,-0.87,100,85,3.8,overcast clouds
89,Grindavik,IS,63.8424,-22.4338,39.15,93,100,17.27,overcast clouds
90,Vaini,TO,-21.2,-175.2,73.56,100,40,2.3,scattered clouds
91,Cherskiy,RU,68.75,161.3,-0.76,98,100,7.05,overcast clouds
92,Pevek,RU,69.7008,170.3133,-11.87,100,94,7.61,overcast clouds
93,San Cristobal,VE,7.7669,-72.225,68.18,67,98,4.97,overcast clouds
94,Little Current,CA,45.9793,-81.9248,13.41,62,100,16.98,overcast clouds
95,Otradnoye,RU,59.7775,30.8181,33.04,62,79,10.6,broken clouds
96,Port Elizabeth,ZA,-33.918,25.5701,79.11,79,0,17.27,clear sky
97,Quelimane,MZ,-17.8786,36.8883,84.15,70,75,8.05,broken clouds
98,Lumberton,US,34.6182,-79.0086,53.91,43,50,6.76,scattered clouds
99,Khatanga,RU,71.9667,102.5,-15.72,98,94,6.29,overcast clouds
100,Hermanus,ZA,-34.4187,19.2345,84.79,55,100,7.9,overcast clouds
101,Shadegan,IR,30.6497,48.6647,73.35,13,0,15.14,clear sky
102,Torbay,CA,47.6666,-52.7314,47.28,73,75,4.61,broken clouds
103,Oxford,GB,51.7522,-1.256,58.19,82,100,9.22,overcast clouds
104,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,77,40,15.46,scattered clouds
105,Lake Havasu City,US,34.4839,-114.3224,79.09,11,0,4.0,clear sky
106,Camacha,PT,33.0833,-16.3333,63.82,63,40,12.66,scattered clouds
107,Shimoda,JP,34.6667,138.95,55.11,74,72,13.0,broken clouds
108,Lagoa,PT,39.05,-27.9833,59.13,86,39,15.05,scattered clouds
109,Ingham,US,42.6,-84.3833,24.84,62,100,18.41,overcast clouds
110,Boyuibe,BO,-20.4167,-63.2833,81.7,35,7,5.5,clear sky
111,Naze,JP,28.3667,129.4833,63.52,63,50,13.15,scattered clouds
112,Le Vauclin,MQ,14.5452,-60.8388,84.25,61,40,12.66,scattered clouds
113,Binga,ZW,-17.6203,27.3414,82.04,67,17,5.06,light rain
114,Alice Springs,AU,-23.7,133.8833,69.22,32,0,0.0,clear sky
115,Zacualpan,MX,21.25,-105.1667,76.75,26,0,0.69,clear sky
116,Joshimath,IN,30.5667,79.5667,57.58,46,0,6.46,clear sky
117,Vanavara,RU,60.34,102.2797,16.95,92,100,10.69,light snow
118,East London,ZA,-33.0153,27.9116,74.34,78,20,17.27,few clouds
119,Lavrentiya,RU,65.5833,-171.0,5.16,84,100,4.76,overcast clouds
120,Balkanabat,TM,39.5108,54.3671,56.62,39,40,3.18,scattered clouds
121,Huescar,ES,37.811,-2.5412,52.12,68,92,8.52,overcast clouds
122,Coihaique,CL,-45.5752,-72.0662,49.95,71,100,5.75,light rain
123,Larap,PH,14.299,122.6504,78.06,87,100,6.4,overcast clouds
124,Ridgecrest,US,35.6225,-117.6709,64.65,11,0,8.01,clear sky
125,Chor,PK,25.5167,69.7667,93.22,7,4,12.86,clear sky
126,Olafsvik,IS,64.8945,-23.7142,33.55,71,100,20.85,overcast clouds
127,Soe,ID,-9.8607,124.284,66.34,93,96,3.38,overcast clouds
128,Atuona,PF,-9.8,-139.0333,78.75,77,19,18.57,few clouds
129,Puerto Ayora,EC,-0.7393,-90.3518,82.36,80,68,9.66,broken clouds
130,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,69,0,6.91,clear sky
131,Allonnes,FR,47.9674,0.1581,69.84,35,0,9.22,clear sky
132,Hobart,AU,-42.8794,147.3294,62.46,72,90,12.66,overcast clouds
133,Taian,CN,36.1853,117.12,45.3,28,28,3.65,scattered clouds
134,Victoria,HK,22.2855,114.1577,69.85,85,100,11.01,overcast clouds
135,General Roca,AR,-39.0333,-67.5833,70.63,28,0,17.2,clear sky
136,Jumla,NP,29.2747,82.1838,50.14,46,2,5.26,clear sky
137,Katsuura,JP,35.1333,140.3,57.11,84,100,15.41,overcast clouds
138,Pisco,PE,-13.7,-76.2167,72.01,77,0,5.75,clear sky
139,Chokurdakh,RU,70.6333,147.9167,-4.92,100,100,5.44,overcast clouds
140,Pinsk,BY,52.1229,26.0951,40.12,34,95,14.03,overcast clouds
141,Qurayyat,SA,31.3318,37.3428,68.18,18,0,13.8,clear sky
142,Freeport,US,40.6576,-73.5832,46.09,50,20,20.71,few clouds
143,Mankono,CI,8.0586,-6.1897,100.51,24,47,6.08,scattered clouds
144,Ketchikan,US,55.3422,-131.6461,39.67,93,75,6.91,broken clouds
145,Kimberley,ZA,-28.7323,24.7623,85.69,23,20,11.5,few clouds
146,Svetlyy,RU,54.675,20.1347,46.45,51,99,9.69,overcast clouds
147,Redmond,US,47.674,-122.1215,49.73,88,100,1.54,overcast clouds
148,Chuy,UY,-33.6971,-53.4616,77.02,48,18,13.04,few clouds
149,San Quintin,MX,30.4833,-115.95,58.53,84,66,2.44,broken clouds
150,Narsaq,GL,60.9167,-46.05,41.22,60,100,11.79,light rain
151,Ancud,CL,-41.8697,-73.8203,53.22,67,53,12.1,broken clouds
152,Sitka,US,57.0531,-135.33,33.69,80,20,4.61,few clouds
153,Mahebourg,MU,-20.4081,57.7,82.69,74,20,4.61,few clouds
154,Hualmay,PE,-11.0964,-77.6139,73.78,74,36,9.28,scattered clouds
155,Agara,GE,42.0376,43.8238,36.84,82,79,14.34,broken clouds
